Book,Chapter,Paragraph,Line,LineId,Text
12,1,2,17,12010217,"    ""I wonder when we will be permitted to meet again.""  He paused, choking with tears. ""Never did I dream that this would happen, and I neglected you in the days when it would have been so easy to see you."""
12,1,2,18,12010218,
12,1,2,19,12010219,"    Saisho~, Yu~giri's nurse, came with a message from Princess Omiya."
12,1,2,20,12010220," ""I would have liked to say goodbye in person, but I have waited in hope that the turmoil of my thoughts might quiet a little. And now I hear that you are leaving, and it is still so early. Everything seems changed, completely wrong. It is a pity that you cannot at least wait until our little sleepyhead is up and about."""
12,1,2,21,12010221,"    Weeping softly, Genji whispered to himself, not precisely by way of reply:"
12,1,2,22,12010222,"      ""There on the shore, the salt burners' fires await me.<br>       Will their smoke be as the smoke over Toribe Moor?"
12,1,2,23,12010223,
12,1,2,24,12010224," Is this the parting at dawn we are always hearing of? No doubt there are those who know."""
12,1,2,25,12010225,
12,1,2,26,12010226,"    ""I have always hated the word'farewell,'"" said Saisho~, whose grief seemed quite unfeigned."" And our farewells today are unlike any others."""
12,1,2,27,12010227,
12,1,2,28,12010228,"    ""Over and over again, ""he sent back to Princess Omiya, ""I have thought of all the things I would have liked to say to you; and I hope you will understand and forgive my muteness. As for our little sleepyhead, I fear that if I were to see him I would wish to stay on even in this hostile city, and so I shall collect myself and be on my way."""
12,1,2,29,12010229,
12,1,2,30,12010230,    All the women were there to see him go.
12,1,2,31,12010231," He looked more elegant and handsome than ever in the light of the setting moon, and his dejection would have reduced tigers and wolves to tears. These were women who had served him since he was very young. It was a sad day for them."
12,1,2,32,12010232,    There was a poem from Princess Omiya:
12,1,2,33,12010233,"       ""Farther retreats the day when we bade her goodbye,<br>     For now you depart the skies that received the smoke."""
12,1,2,34,12010234,"    Sorrow was added to sorrow, and the tears almost seemed to invite further misfortunes."
12,1,3,1,12010301,"    He returned to Nijo~. The women, awake the whole night through, it seemed, were gathered in sad clusters. There was no one in the guardroom. The men closest to him, reconciled to going with him, were making their own personal farewells. As for other court functionaries, there had been ominous hints of sanctions were they to come calling, and so the grounds, once crowded with horses and carriages, were empty and silent. He knew again what a hostile world it had become."
12,1,3,2,12010302," There was dust on the tables, cushions had been put away. And what would be the extremes of waste and the neglect when he was gone?"
12,1,3,3,12010303,"    He went to Murasaki's wing of the house. She had been up all night, not even lowering the shutters. Out near the verandas little girls were noisily bestirring themselves. They were so pretty in their night dress--and presently, no doubt, they would find the loneliness too much, and go their various ways. Such thoughts had not before been a part of his life."
12,1,3,4,12010304,"    He told Murasaki what had kept him at Sanjo~. ""And I suppose you are filled with the usual odd suspicions. I have wanted to be with you every moment I am still in the city, but there are things that force me to go out. Life is uncertain enough at best, and I would not want to seem cold and unfeeling."""
12,1,3,5,12010305,
12,1,3,6,12010306,"    ""And what should be'odd' now except that you are going away?"""
12,1,3,7,12010307,"    That she should feel these sad events more cruelly than any of the others was not surprising. From her childhood she had been closer to Genji than to her own father, who now bowed to public opinion and had not offered a word of sympathy. His coldness had caused talk among her women. She was beginning to wish that they had kept him in ignorance of her whereabouts."
12,1,3,8,12010308,"    Someone reported what her stepmother was saying: ""She had a sudden stroke of good luck, and now just as suddenly everything goes wrong. It makes a person shiver. One after another, each in his own way, they all run out on her."""
12,1,3,9,12010309,    This was too much. There was nothing more she wished to say to them. Henceforth she would have only Genji.
12,1,3,10,12010310,"    ""If the years go by and I am still an outcast,""  he continued, ""I will come for you and bring you to my'cave among the rocks.'* But we must not be hasty. A man who is out of favor at court is not permitted the light of the sun and the moon, and it is thought a great crime, I am told, for him to go on being happy. The cause of it all is a great mystery to me, but I must accept it as fate. There seems to be no precedent for sharing exile with a lady, and I am sure that to suggest it would be to invite worse insanity from an insane world."""
12,1,3,11,12010311,
12,1,3,12,12010312,"    He slept until almost noon.
    To~ no Chu~jo~ and Genji's brother, Prince Hotaru, came calling."
12,1,3,13,12010313,
12,1,3,14,12010314," Since he was now without rank and office, he changed to informal dress of unfigured silk, more elegant, and even somehow grand, for its simplicity. As he combed his hair he could not help noticing that loss of weight had made him even handsomer."
12,1,3,15,12010315,"    ""I am skin and bones,""  he said to Murasaki, who sat gazing at him, tears in her eyes. ""Can I really be as emaciated as this mirror makes me? I am a little sorry for myself."
12,1,3,16,12010316,
12,1,3,17,12010317,"           ""I now must go into exile. In this mirror<br>          An image of me will yet remain beside you."""
12,1,3,18,12010318,"    Huddling against a pillar to hide her tears, she replied as if to herself:"
12,1,3,19,12010319,"           ""If when we part an image yet remains,<br>          Then will I find some comfort in my sorrow."""
12,1,3,20,12010320,"    Yes, she was unique--a new awareness of that fact stabbed at his heart."
12,1,3,21,12010321,    Prince Hotaru kept him affectionate company through the day and left in the evening.
12,1,4,1,12010401,"    It was not hard to imagine the loneliness that brought frequent notes from the house of the falling orange blossoms. Fearing that he would seem unkind if he did not visit the ladies again, he resigned himself to spending yet another night away from home. It was very late before he gathered himself for the effort."
12,1,4,2,12010402,"    ""We are honored that you should consider us worth a visit,"""
12,1,4,3,12010403,  said Lady Reikeiden--and it would be difficult to record the rest of the interview.
12,1,4,4,12010404,"    They lived precarious lives, completely dependent on Genji. So lonely indeed was their mansion that he could imagine the desolation awaiting it once he himself was gone;"
12,1,4,5,12010405," and the heavily wooded hill rising dimly beyond the wide pond in misty moonlight made him wonder whether the ""cave among the rocks""  at Suma would be such a place."
12,1,4,6,12010406,"    He went to the younger sister's room, at the west side of the house. She had been in deep despondency, almost certain that he would not find time for a visit. Then, in the soft, sad light of the moon, his robes giving off an indescribable fragrance, he made his way in. She came to the veranda and looked up at the moon. They talked until dawn."
12,1,4,7,12010407,"    ""What a short night it has been. I think how difficult it will be for us to meet again, and I am filled with regrets for the days I wasted. I fear I worried too much about the precedents I might be setting."""
12,1,4,8,12010408,"    A cock was crowing busily as he talked on about the past. He made a hasty departure, fearful of attracting notice. The setting moon is always sad, and he was prompted to think its situation rather like his own. Catching the deep purple of the lady's robe, the moon itself seemed to be weeping.*"
12,1,4,9,12010409,"      ""Narrow these sleeves, now lodging for the moonlight.<br>     Would they might keep a light which I do not tire of."""
12,1,4,10,12010410,"    Sad himself, Genji sought to comfort her."
12,1,4,11,12010411,"        ""The moon will shine upon this house once more.<br>          Do not look at the clouds which now conceal it."
12,1,4,12,12010412,"    ""I wish I were really sure it is so, and find the unknown future clouding my heart."""
12,1,4,13,12010413,    He left as dawn was coming over the sky.
12,1,5,1,12010501,"    His affairs were in order. He assigned all the greater and lesser affairs of the Nijo~ mansion to trusted retainers who had not been swept up in the currents of the times, and he selected others to go with him to Suma."
12,1,5,2,12010502," He would take only the simplest essentials for a rustic life, among them a book chest, selected writings of $$ Po Chu-i and other poets, and a seven-stringed Chinese koto. He carefully refrained from anything which in its ostentation might not become a nameless rustic."
12,1,5,3,12010503,"    Assigning all the women to Murasaki's west wing, he left behind deeds to pastures and manors and the like and made provision for all his various warehouses and storerooms. Confident of Sho~nagon's perspicacity, he gave her careful instructions and put stewards at her disposal."
12,1,5,4,12010504," He had been somewhat brisk and businesslike toward his own serving women, but they had had security--and now what was to become of them?"
12,1,5,5,12010505,"     ""I shall be back, I know, if I live long enough. Do what you can in the west wing, please, those of you who are prepared to wait."""
12,1,5,6,12010506,    And so they all began a new life.
12,1,5,7,12010507,"    To Yu~giri's nurse and maids and to the lady of the orange blossoms he sent elegant parting gifts and plain, useful everyday provisions as well."
12,1,5,8,12010508,    He even wrote to Oborozukiyo.
12,1,5,9,12010509," ""I know that I have no right to expect a letter from you; but I am not up to describing the gloom and the bitterness of leaving this life behind."
12,1,5,10,12010510,"        ""Snagged upon the shoals of this river of tears,<br>           I cannot see you. Deeper waters await me."
12,1,5,11,12010511,"     ""Remembering is the crime to which I cannot plead innocent."""
12,1,5,12,12010512,"    He wrote nothing more, for there was a danger that his letter would be intercepted."
12,1,5,13,12010513,"    Though she fought to maintain her composure, there was nothing she could do about the tears that wet her sleeves."
12,1,5,14,12010514,"        ""The foam on the river of tears will disappear<br>     Short of the shoals of meeting that wait downstream."""
12,1,5,15,12010515,"    There was something very fine about the hand disordered by grief.
    He longed to see her again, but she had too many relatives who wished him ill. Discretion forbade further correspondence."
12,1,6,1,12010601,"    On the night before his departure he visited his father's grave in the northern hills. Since the moon would be coming up shortly before dawn, he went first to take leave of Fujitsubo. Receiving him in person, she spoke of her worries for the crown prince."
12,1,6,2,12010602," It cannot have been, so complicated were matters between them, a less than deeply felt interview. Her dignity and beauty were as always. He would have liked to hint at old resentments; but why, at this late date, invite further unpleasantness, and risk adding to his own agitation?"
12,1,6,3,12010603,"    He only said, and it was reasonable enough: ""I can think of a single offense for which I must undergo this strange, sad punishment, and because of it I tremble before the heavens. Though I would not care in the least if my own unworthy self were to vanish away, I only hope that the crown prince's reign is without unhappy event."""
12,1,6,4,12010604,
12,1,6,5,12010605,"    She knew too well what he meant, and was unable to reply. He was almost too handsome as at last he succumbed to tears."
12,1,6,6,12010606,"     ""I am going to pay my respects at His Majesty's grave. Do you have a message?"""
12,1,6,7,12010607,"    She was silent for a time, seeking to control herself."
12,1,6,8,12010608,"    ""The one whom I served is gone, the other must go.<br>    Farewell to the world was no farewell to its sorrows."
12,1,6,9,12010609, But for both of them the sorrow was beyond words. He replied:
12,1,6,10,12010610,"    ""The worst of grief for him should long have passed. And now I must leave the world where dwells the child.""*"
12,1,6,11,12010611,<P 228>
12,1,7,1,12010701," The moon had risen and he set out. He was on horseback and had only five or six attendants, all of them trusted friends. I need scarcely say that it was a far different procession from those of old. Among his men was that guards officer who had been his special attendant at the Kamo lustration services.+ The promotion he might have expected had long since passed him by, and now his right of access to the royal presence and his offices had been taken away."
12,1,7,2,12010702," Remembering that day as they came in sight of the Lower Kamo Shrine, he dismounted and took Genji's bridle."
12,1,7,3,12010703,"         ""There was heartvine in our caps. I led your horse.<br>        And now at this jeweled fence I berate the gods."""
12,1,7,4,12010704,"    Yes, the memory must be painful, for the young man had been the most resplendent in Genji's retinue."
12,1,7,5,12010705," Dismounting, Genji bowed toward the shrine and said as if by way of farewell:"
12,1,7,6,12010706,"         ""I leave this world of gloom. I leave my name<br>          To the offices of the god who rectifies."" *"
12,1,7,7,12010707,"    The guards officer, an impressionable young man, gazed at him in wonder and admiration."
12,1,7,8,12010708,"    Coming to the grave, Genji almost thought he could see his father before him. Power and position were nothing once a man was gone. He wept and silently told his story, but there came no answer, no judgment upon it. And all those careful instructions and admonitions had served no purpose at all?"
12,1,7,9,12010709,"    Grasses overgrew the path to the grave, the dew seemed to gather weight as he made his way through. The moon had gone behind a cloud and the groves were dark and somehow terrible. It was as if he might lose his way upon turning back. As he bowed in farewell, a chill came over him, for he seemed to see his father as he once had been."
12,1,7,10,12010710,"         ""And how does he look upon me? I raise my eyes,<br>        And the moon now vanishes behind the clouds."""
12,1,8,1,12010801,"    Back at Nijo~ at daybreak, he sent a last message to the crown prince. Tying it to a cherry branch from which the blossoms had fallen, he addressed it to Omyo~bu, whom Fujitsubo had put in charge of her son's affairs."
12,1,8,2,12010802," ""Today I must leave. I regret more than anything that I cannot see you again. Imagine my feelings, if you will, and pass them on to the prince."
12,1,8,3,12010803,"           ""When shall I, a ragged, rustic outcast,<br>            See again the blossoms of the city?"""
12,1,8,4,12010804,    She explained everything to the crown prince. He gazed at her solemnly.
12,1,8,5,12010805,"    ""How shall I answer?"" Omyo~bu asked."
12,1,8,6,12010806,
12,1,8,7,12010807,"    ""I am sad when he is away for a little, and he is going so far, and how --tell him that, please."""
12,1,8,8,12010808,"    A sad little answer, thought Omyo~bu.+
    All the details of that unhappy love came back to her. The two of them should have led placid, tranquil lives, and she felt as if she and she alone had been the cause of all the troubles."
12,1,8,9,12010809,"    ""I can think of nothing to say.""  It was clear to him that her answer had indeed been composed with great difficulty."
12,1,8,10,12010810," ""I passed your message on to the prince, and was sadder than ever to see how sad it made him."
12,1,8,11,12010811,"        ""Quickly the blossoms fall. Though spring departs,<br>        You will come again, I know, to a city of flowers."""
12,1,8,12,12010812,
12,1,8,13,12010813,"    There was sad talk all through the crown prince's apartments in the wake of the letter, and there were sounds of weeping."
12,1,8,14,12010814," Even people who scarcely knew him were caught up in the sorrow. As for people in his regular service, even scullery maids of whose existence he can hardly have been aware were sad at the thought that they must for a time do without his presence."
12,1,8,15,12010815,"    So it was all through the court. Deep sorrow prevailed. He had been with his father day and night from his seventh year, and, since nothing he had said to his father had failed to have an effect, almost everyone was in his debt. A cheerful sense of gratitude should have been common in the upper ranks of the court and the ministries, and omnipresent in the lower ranks. It was there, no doubt; but the world had become a place of quick punishments. A pity, people said, silently reproving the great ones whose power was now absolute; but what was to be accomplished by playing the martyr? Not that everyone was satisfied with passive acceptance. If he had not known before, Genji knew now that the human race is not perfect."
12,1,9,1,12010901,    He spent a quiet day with Murasaki and late in the night set out in rough travel dress.
12,1,9,2,12010902,"    ""The moon is coming up. Do please come out and see me off. I know that later I will think of any number of things I wanted to say to you. My gloom strikes me as ridiculous when I am away from you for even a day or two."""
12,1,9,3,12010903,"    He raised the blinds and urged her to come forward. Trying not to weep, she at length obeyed. She was very beautiful in the moonlight. What sort of home would this unkind, inconstant city be for her now? But she was sad enough already, and these thoughts were best kept to himself.
    He said with forced lightness:"
12,1,9,4,12010904,"    ""At least for this life we might make our vows, we thought.<br>     And so we vowed that nothing would ever part us. How silly we were!"""
12,1,9,5,12010905,
12,1,9,6,12010906,    This was her answer:
12,1,9,7,12010907,"         ""I would give a life for which I have no regrets<br>        If it might postpone for a little the time of parting."""
12,1,9,8,12010908,"    They were not empty words, he knew; but he must be off, for he did not want the city to see him in broad daylight."
12,1,9,9,12010909,"    Her face was with him the whole of the journey. In great sorrow he boarded the boat that would take him to Suma. It was a long spring day and there was a tail wind, and by late afternoon he had reached the strand where he was to live. He had never before been on such a journey, however short. All the sad, exotic things along the way were new to him. The Oe station* was in ruins, with only a grove of pines to show where it had stood."
12,1,9,10,12010910,"           ""More remote, I fear, my place of exile<br>         Than storied ones in lands beyond the seas."""
12,1,9,11,12010911,"    The surf came in and went out again. ""I envy the waves,""  he whispered to himself.+ It was a familiar poem, but it seemed new to those who heard him, and sad as never before. Looking back toward the city, he saw that the mountains were enshrouded in mist. It was as though he had indeed come ""three thousand leagues."" # The spray from the oars brought thoughts scarcely to be borne."
12,1,9,12,12010912,"         ""Mountain mists cut off that ancient village.<br>         Is the sky I see the sky that shelters it?"""
12,1,9,13,12010913,
12,2,1,1,12020101,"    Not far away Yukihira had lived in exile, ""dripping brine from the sea grass."" * Genji's new house was some distance from the coast, in mountains utterly lonely and desolate."
12,2,1,2,12020102," The fences and everything within were new and strange. The grass-roofed cottages, the reed-roofed galleries--or so they seemed--were interesting enough in their way. It was a dwelling proper to a remote littoral, and different from any he had known. Having once had a taste for out-of-the-way places, he might have enjoyed this Suma had the occasion been different."
12,2,1,3,12020103,"    Yoshikiyo had appointed himself a sort of confidential steward. He summoned the overseers of Genji's several manors in the region and assigned them to necessary tasks. Genji watched admiringly. In very quick order he had a rather charming new house. A deep brook flowed through the garden with a pleasing murmur, new plantings were set out; and when finally he was beginning to feel a little at home he could scarcely believe that it all was real. The governor of the province, an old retainer, discreetly performed numerous services. All in all it was a brighter and livelier place than he had a right to expect, although the fact that there was no one whom he could really talk to kept him from forgetting that it was a house of exile, strange and alien. How was he to get through the months and years ahead?"
12,2,2,1,12020201,"    The rainy season came. His thoughts traveled back to the distant city. There were people whom he longed to see, chief among them the lady at Nijo~, whose forlorn figure was still before him. He thought too of the crown prince, and of little Yu~giri, running so happily, that last day, from father to grandfather and back again."
12,2,2,2,12020202," He sent off letters to the city. Some of them, especially those to Murasaki and to Fujitsubo, took a great deal of time, for his eyes clouded over repeatedly.
    This is what he wrote to Fujitsubo:"
12,2,2,3,12020203,"         ""Briny our sleeves on the Suma strand; and yours<br>         In the fisher cots of thatch at Matsushima?+"
12,2,2,4,12020204,"    ""My eyes are dark as I think of what is gone and what is to come, and 'the waters rise.'""#"
12,2,2,5,12020205,"    His letter to Oborozukiyo he sent as always to Chu~nagon, as if it were a private matter between the two of them."
12,2,2,6,12020206,""" With nothing else to occupy me, I find memories of the past coming back."
12,2,2,7,12020207,"     ""At Suma, unchastened, one longs for the deep-lying sea pine.<br>      And she, the fisher lady burning salt?"""
12,2,2,8,12020208,"    I shall leave the others, among them letters to his father-in-law and Yu~giri's nurse, to the reader's imagination."
12,2,2,9,12020209,They reached their several destinations and gave rise to many sad and troubled thoughts.
12,2,2,10,12020210,"They reached their several destinations and gave rise to many sad and troubled thoughts.
    Murasaki had taken to her bed. Her women, doing everything they could think of to comfort her, feared that in her grief and longing she might fall into a fatal decline."
12,2,2,11,12020211," Brooding over the familiar things he had left behind, the koto, the perfumed robes, she almost seemed on the point of departing the world. Her women were beside themselves. Sho~nagon sent asking that the bishop, her uncle, pray for her. He did so, and to double purpose, that she be relieved of her present sorrows and that she one day be permitted a tranquil life with Genji."
12,2,2,12,12020212,"    She sent bedding and other supplies to Suma. The robes and trousers of stiff, unfigured white silk brought new pangs of sorrow, for they were unlike anything he had worn before. She kept always with her the mirror to which he had addressed his farewell poem, though it was not acquitting itself of the duty he had assigned to it."
12,2,2,13,12020213," The door through which he had come and gone, the cypress pillar at his favorite seat--everything brought sad memories. So it is even for people hardened and seasoned by trials, and how much more for her, to whom he had been father and mother! ""Grasses of forgetfulness"" * might have sprung up had he quite vanished from the earth; but he was at Suma, not so very far away, she had heard. She could not know when he would return."
12,2,2,14,12020214,"    For Fujitsubo, sorrow was added to uncertainty about her son. And how, at the thought of the fate that had joined them, could her feelings for Genji be of a bland and ordinary kind? Fearful of gossips, she had coldly turned away each small show of affection, she had become more and more cautious and secretive, and she had given him little sign that she sensed the depth of his affection. He had been uncommonly careful himself Gossips are cruelly attentive people (it was a fact she knew too well), but they seemed to have caught no suspicion of the affair. He had kept himself under tight control and preserved the most careful appearances. How then could she not, in this extremity, have fond thoughts for him?
    Her reply was more affectionate than usual."
12,2,2,15,12020215,"        ""The nun of Matsushima burns the brine"
12,2,2,16,12020216,"       And fuels the fires with the logs of her lamenting, now more than ever."""
12,2,2,17,12020217,    Enclosed with Chu~nagon's letter was a brief reply from Oborozukiyo:
12,2,2,18,12020218,"         ""The fisherwife burns salt and hides her fires<br>          And strangles, for the smoke has no escape."
12,2,2,19,12020219,"    ""I shall not write of things which at this late date need no saying."""
12,2,2,20,12020220,    Chu~nagon wrote in detail of her lady's sorrows. There were tears in his eyes as he read her letter.
12,2,2,21,12020221,    And Murasaki's reply was of course deeply moving. There was this poem:
12,2,2,22,12020222,"      ''Taking brine on that strand, let him compare<br>        His dripping sleeves with these night sleeves of mine.''"
12,2,2,23,12020223,"    The robes that came with it were beautifully dyed and tailored. She did everything so well. At Suma there were no silly and frivolous distractions, and it seemed a pity that they could not enjoy the quiet life together. Thoughts of her, day and night, became next to unbearable. Should he send for her in secret? But no: his task in this gloomy situation must be to make amends for past misdoings. He began a fast and spent his days in prayer and meditation."
12,2,2,24,12020224,"    There were also messages about his little boy, Yu~giri. They of course filled him with longing; but he would see the boy again one day, and in the meantime he was in good hands. Yet a father must, however he tries, ''wander lost in thoughts upon his child.''*"
12,2,3,1,12020301,"    In the confusion I had forgotten: he had sent off a message to the Rokujo~ lady, and she on her own initiative had sent a messenger to seek out his place of exile. Her letter was replete with statements of the deepest affection. The style and the calligraphy, superior to those of anyone else he knew, showed unique breeding and cultivation."
12,2,3,2,12020302,"    ''Having been told of the unthinkable place in which you find yourself, I feel as if I were wandering in an endless nightmare. I should imagine that you will be returning to the city before long, but it will be a very long time before I, so lost in sin, will be permitted to see you."
12,2,3,3,12020303," ''Imagine, at Suma of the dripping brine,<br>    The woman of Ise, gathering briny sea grass."
12,2,3,4,12020304,"    And what is to become of one, in a world where everything conspires to bring new sorrow?'' It was a long letter."
12,2,3,5,12020305,
12,2,3,6,12020306,"    ''The tide recedes along the coast of Ise.<br>    No hope, no promise in the empty shells.''"
12,2,3,7,12020307,"    Laying down her brush as emotion overcame her and then beginning again, she finally sent off some four or five sheets of white Chinese paper. The gradations of ink were marvelous."
12,2,3,8,12020308," He had been fond of her, and it had been wrong to make so much of that one incident. She had turned against him and presently left him. It all seemed such a waste. The letter itself and the occasion for it so moved him that he even felt a certain affection for the messenger, an intelligent young man in her daughter's service. Detaining him for several days, he heard about life at Ise."
12,2,3,9,12020309," The house being rather small, the messenger was able to observe Genji at close range. He was moved to tears of admiration by what he saw.
   The reader may be left to imagine Genji's reply."
12,2,3,10,12020310," He said among other things: ""Had I known I was destined to leave the city, it would have been better, I tell myself in the tedium and loneliness here, to go off with you to Ise."
12,2,3,11,12020311,"          ""With the lady of Ise I might have ridden small boats<br>         That row the waves, and avoided dark sea tangles.*"
12,2,3,12,12020312,"          ""How long, dripping brine on driftwood logs,<br>         On logs of lament, must I gaze at this Suma coast?"
12,2,3,13,12020313,"      ""I cannot know when I will see you again."""
12,2,3,14,12020314,     But at least his letters brought the comfort of knowing that he was well.
12,2,3,15,12020315,"    There came letters, sad and yet comforting, from the lady of the orange blossoms and her sister."
12,2,3,16,12020316,"         ""Ferns of remembrance weigh our eaves ever more,<br>        And heavily falls the dew upon our sleeves."""
12,2,3,17,12020317,"    There was no one, he feared, whom they might now ask to clear away the rank growth. Hearing that the long rains had damaged their garden walls, he sent off orders to the city that people from nearby manors see to repairs."
12,2,4,1,12020401,"    Oborozukiyo had delighted the scandalmongers, and she was now in very deep gloom. Her father, the minister, for she was his favorite daughter, sought to intercede on her behalf with the emperor and Kokiden. The emperor was moved to forgive her. She had been severely punished, it was true, for her grave offense, but not as severely as if she had been one of the companions of the royal bedchamber."
12,2,4,2,12020402," In the Seventh Month she was permitted to return to court. She continued to long for Genji. Much of the emperor's old love remained, and he chose to ignore criticism and keep her near him, now berating her and now making impassioned vows."
12,2,4,3,12020403," He was a handsome man and he groomed himself well, and it was something of an affront that old memories should be so much with her."
12,2,4,4,12020404,"    ""Things do not seem right now that he is gone,""  he said one evening when they were at music together. ""I am sure that there are many who feel the loss even more strongly than I do. I cannot put away the fear that I have gone against Father's last wishes and that it is a dereliction for which I must one day suffer."""
12,2,4,5,12020405,  There were tears in his eyes and she too was weeping.
12,2,4,6,12020406," ""I have awakened to the stupidity of the world and I do not feel that I wish to remain in it much longer. And how would you feel if I were to die? I hate to think that you would grieve less for me gone forever than for him gone so briefly such a short distance away. The poet who said that we love while we live did not know a great deal about love."" *"
12,2,4,7,12020407, Tears were streaming from Oborozukiyo's eyes.
12,2,4,8,12020408," ""And whom might you be weeping for?"
12,2,4,9,12020409,
12,2,4,10,12020410," It is sad that we have no children. I would like to follow Father's instructions and adopt the crown prince, but people Will raise innumerable objections. It all seems very sad."""
12,2,4,11,12020411,"    There were some whose ideas of government did not accord with his own, but he was too young to impose his will. He Passed his days in helpless anger and sorrow."
12,3,1,1,12030101,"    At Suma, melancholy autumn winds were blowing. Genji's house was some distance from the sea, but at night the wind that blew over the barriers, now as in Yukihira's day, seemed to bring the surf to his bedside. Autumn was hushed and lonely at a place of exile. He had few companions."
